case,num,n lane change,greedy,nldp,dp,ndelay,gddelay,nldpdelay,dpdelay,nexec,gdexec,nldpexec,dpexec
04_20,1,222,176,175,176,129.24925000000002,104.77425000000002,103.29925000000003,103.49925000000003,3.695487976074219e-05,0.000247955322265625,0.004179954528808594,0.020628929138183594
04_20,2,224,195,188,183,122.84325000000001,103.94324999999999,103.24324999999999,99.46824999999998,6.604194641113281e-05,0.00023698806762695312,0.0033648014068603516,0.012020111083984375
04_20,3,227,184,177,182,131.236,106.01100000000004,100.68600000000004,103.61100000000003,6.389617919921875e-05,0.0002639293670654297,0.0020132064819335938,0.010720968246459961
04_20,4,226,190,181,184,136.54225000000002,113.39224999999999,107.89224999999999,110.14224999999999,4.100799560546875e-05,0.0002732276916503906,0.0036568641662597656,0.019038915634155273
04_20,5,256,200,181,185,138.34875000000005,111.74875000000004,105.99875,108.24875000000002,7.486343383789062e-05,0.00014638900756835938,0.003789186477661133,0.014084815979003906
04_20,6,260,205,195,190,135.83975,106.06475,107.66474999999998,101.88975,7.081031799316406e-05,0.00027108192443847656,0.0040130615234375,0.01385807991027832
04_20,7,258,196,176,175,143.90925000000001,113.33425000000004,106.05925000000002,105.85925000000002,7.724761962890625e-05,0.00024509429931640625,0.003513813018798828,0.015516042709350586
04_20,8,221,181,182,182,130.61399999999998,107.73899999999995,109.46399999999998,109.56399999999996,6.079673767089844e-05,0.0002429485321044922,0.003324270248413086,0.01941704750061035
04_20,9,243,185,182,184,141.41624999999993,109.99125,109.76625000000001,110.79124999999999,6.604194641113281e-05,0.00023484230041503906,0.0035791397094726562,0.013176918029785156
04_20,10,217,183,181,188,122.70325000000003,104.72825,103.95325,107.45325000000003,6.508827209472656e-05,0.0002827644348144531,0.003916025161743164,0.02058100700378418
04_40,1,396,305,276,280,189.27600000000007,140.00100000000003,127.13850000000005,129.73850000000002,0.0001068115234375,0.0006818771362304688,0.009641885757446289,0.09622693061828613
04_40,2,375,293,278,276,172.00024999999997,127.08774999999999,123.10024999999996,120.33774999999999,0.00021004676818847656,0.0003521442413330078,0.01062774658203125,0.057923078536987305
04_40,3,398,293,271,275,192.76925000000003,136.89425,125.08175000000001,127.49425000000001,0.00011086463928222656,0.0007028579711914062,0.025192975997924805,0.06851673126220703
04_40,4,371,285,273,280,174.3023750000001,134.66487500000008,135.3898750000001,140.78987500000008,0.00010609626770019531,0.0007679462432861328,0.008185148239135742,0.04833102226257324
04_40,5,377,281,274,279,184.904875,130.49237500000004,133.19237499999994,134.65487499999995,0.00010704994201660156,0.0006620883941650391,0.007754087448120117,0.05288100242614746
04_40,6,373,284,274,277,180.62962499999998,134.02962499999995,128.62962499999992,130.97962499999994,0.00010180473327636719,0.0006699562072753906,0.015952110290527344,0.05892300605773926
04_40,7,384,277,282,285,185.86825000000002,130.95574999999997,136.79325000000006,138.69325000000006,0.00010800361633300781,0.0003619194030761719,0.007833719253540039,0.045205116271972656
04_40,8,424,299,278,276,192.92662499999994,131.03912499999993,124.97662499999994,123.68912499999995,0.00010895729064941406,0.0006630420684814453,0.01456904411315918,0.04919886589050293
04_40,9,411,297,284,294,188.55687500000002,133.43187500000005,123.58187500000005,126.53187500000004,0.0001728534698486328,0.0006818771362304688,0.013077974319458008,0.05490303039550781
04_40,10,381,295,279,287,176.09412499999996,123.36912500000003,115.36912500000001,117.19412499999996,0.00010704994201660156,0.0005328655242919922,0.008740663528442383,0.04542088508605957
04_60,1,515,388,383,382,220.81991666666667,154.70325000000008,156.04491666666672,145.7282500000001,0.00021600723266601562,0.0011899471282958984,0.03629493713378906,0.09921598434448242
04_60,2,565,399,369,379,245.81416666666667,159.3224999999999,147.13083333333333,152.32250000000005,0.0002129077911376953,0.0012850761413574219,0.019124984741210938,0.12316584587097168
04_60,3,549,394,385,397,248.89458333333332,164.3445833333333,157.7279166666666,160.71958333333322,0.0004019737243652344,0.0006041526794433594,0.03508305549621582,0.10224699974060059
04_60,4,549,375,357,362,252.82033333333342,164.362,154.80366666666663,154.54533333333322,0.00021314620971679688,0.0006251335144042969,0.025115966796875,0.13652706146240234
04_60,5,555,390,391,409,225.46274999999997,141.18775000000002,144.58775000000003,148.9960833333334,0.0002009868621826172,0.0011661052703857422,0.01891303062438965,0.09788179397583008
04_60,6,537,391,374,381,226.92425000000011,149.38258333333337,137.88258333333334,141.54925,0.00021719932556152344,0.0005900859832763672,0.022446632385253906,0.10211300849914551
04_60,7,576,388,370,375,253.8868333333334,164.24516666666665,155.71183333333335,158.5035000000001,0.0004191398620605469,0.0006220340728759766,0.026571989059448242,0.13466906547546387
