case,num,n lane change,greedy,nldp,dp,ndelay,gddelay,nldpdelay,dpdelay,nexec,gdexec,nldpexec,dpexec
04_20,1,292,233,237,211,161.2415,127.71649999999993,131.51649999999998,116.2915,9.584426879882812e-05,0.0002722740173339844,0.0021708011627197266,0.020606040954589844
04_20,2,298,240,223,200,170.29100000000005,141.01600000000008,132.566,121.79100000000008,5.91278076171875e-05,0.00015592575073242188,0.002019166946411133,0.012335062026977539
04_20,3,239,225,215,192,127.93175000000005,121.05675000000004,118.48175000000003,101.30675,3.814697265625e-05,0.0001380443572998047,0.004636049270629883,0.010251760482788086
04_20,4,288,235,216,193,154.59200000000004,131.99200000000005,122.86699999999999,112.49200000000003,3.695487976074219e-05,0.0001392364501953125,0.003598928451538086,0.010679960250854492
04_20,5,256,214,202,190,152.57349999999997,125.8735,120.47349999999999,112.82350000000001,5.7220458984375e-05,0.0001399517059326172,0.0022199153900146484,0.010174036026000977
04_20,6,287,232,213,199,158.96100000000004,128.96100000000004,118.11100000000003,107.23600000000003,3.790855407714844e-05,0.0001399517059326172,0.002488851547241211,0.015030860900878906
04_20,7,300,230,205,206,162.88824999999997,128.18824999999998,119.46324999999997,119.48824999999995,7.081031799316406e-05,0.00015211105346679688,0.0019910335540771484,0.017357826232910156
04_20,8,287,234,226,205,164.69350000000003,134.0935,127.46849999999999,114.76849999999999,3.719329833984375e-05,0.00013899803161621094,0.0021419525146484375,0.013206005096435547
04_20,9,288,222,218,193,167.44075000000004,129.89075000000005,126.19075000000002,110.79075000000003,3.600120544433594e-05,0.0001380443572998047,0.002789020538330078,0.011842966079711914
04_20,10,293,227,208,201,154.30799999999996,122.70799999999997,114.73299999999998,112.15799999999997,3.6716461181640625e-05,0.00015306472778320312,0.002015829086303711,0.012559175491333008
04_40,1,501,397,351,304,236.61487499999993,179.13987499999993,162.73987499999998,138.73987499999993,0.00010895729064941406,0.0003628730773925781,0.01116800308227539,0.04777193069458008
04_40,2,513,388,342,324,240.03112500000006,174.368625,156.63112499999997,146.931125,0.0002429485321044922,0.0006699562072753906,0.009360074996948242,0.04526996612548828
04_40,3,489,358,329,298,241.19299999999998,169.543,150.95549999999994,135.98050000000003,0.00020194053649902344,0.0006771087646484375,0.009949922561645508,0.06325888633728027
04_40,4,464,357,337,314,222.41487500000002,163.302375,148.98987500000004,148.95237500000002,0.0001068115234375,0.0004818439483642578,0.012095928192138672,0.07538604736328125
04_40,5,499,352,330,304,248.68975000000006,170.5772500000001,158.26475000000008,146.55225000000007,0.0001010894775390625,0.00033092498779296875,0.00799107551574707,0.05113697052001953
04_40,6,483,375,344,319,233.68275000000003,171.09525000000005,156.35775000000004,143.59525000000002,0.0001671314239501953,0.0006957054138183594,0.01069498062133789,0.061766862869262695
04_40,7,490,366,330,310,235.26350000000008,181.1885,154.3885,143.88849999999996,0.00010418891906738281,0.0003960132598876953,0.0086669921875,0.04286813735961914
04_40,8,479,358,327,293,235.87837500000006,177.09087499999995,154.203375,134.85337499999997,0.00010824203491210938,0.0003571510314941406,0.008406877517700195,0.04739689826965332
04_40,9,517,377,347,302,240.70424999999994,175.35425,167.17925000000002,141.69175,0.0001862049102783203,0.001132965087890625,0.01293802261352539,0.05777406692504883
04_40,10,506,367,326,318,252.20425000000006,179.5667499999999,160.5917499999999,154.6917499999999,0.00018787384033203125,0.0006477832794189453,0.019184112548828125,0.06968903541564941
04_60,1,696,502,476,422,303.53608333333335,206.8944166666665,195.7860833333332,169.13608333333326,0.0004181861877441406,0.00061798095703125,0.02748703956604004,0.10759210586547852
04_60,2,682,507,469,403,302.87841666666674,210.9867499999999,193.17008333333322,166.66174999999993,0.00021028518676757812,0.0005679130554199219,0.03514695167541504,0.10943794250488281
