case,num,MN,FCFS max_delay,last lane change max_delay,out_lane_change max_delay,FCFS mean_delay,last lane change mean_delay,out_lane_change mean_delay,FCFS maxe,last lane change maxe,out_lane_change maxe,milp time,fcfs time,heuristic time
04_3_20,1,3_4,5.150000000000002,6.440000000000001,9.98,1.921666666666667,2.0127777777777784,3.4727777777777784,25,25,27,0.1086438496907552,0.0007010777791341146,0.0007806380589803059
04_3_20,2,3_4,12.469999999999999,12.32,9.260000000000002,3.745217391304348,3.745217391304348,2.9991304347826087,31,31,26.69,0.12818668683369955,0.0013361454010009765,0.0013355016708374023
04_3_20,3,3_4,12.84,12.84,13.61,5.34375,5.34375,5.7579166666666675,31.47,31.47,31.23,0.18367942174275717,0.0017415682474772136,0.0020598888397216795
04_3_20,4,3_4,7.619999999999997,7.619999999999997,5.700000000000001,2.811111111111111,2.811111111111111,2.3405555555555555,26,27.47,23,0.15209066073099772,0.0023025830586751303,0.0011427005132039387
04_3_20,5,3_4,7.27,8.02,6.649999999999997,2.700555555555555,2.700555555555555,2.0938888888888885,25.6,25.6,22.45,0.1933292309443156,0.0023618300755818685,0.0015046199162801106
04_3_20,6,3_4,8.68,9.379999999999999,8.379999999999999,3.2357894736842105,3.4831578947368422,2.851578947368421,28.3,29,27.3,0.18627326488494872,0.0016812324523925782,0.0013223409652709961
04_3_20,7,3_4,6.739999999999998,6.739999999999998,7.469999999999999,2.786190476190476,2.738571428571428,2.9957142857142856,25,24,26.85,0.15344447294871014,0.0012608051300048828,0.0012186288833618164
04_3_20,8,3_4,15.54,14.54,11.420000000000002,4.749642857142858,4.713928571428571,4.1067857142857145,35,34,30,0.3111609935760498,0.0028185526529947917,0.0027733008066813153
04_3_20,9,3_4,13.060000000000002,13.590000000000003,10.970000000000002,4.0128,4.0128,3.4055999999999997,31.45,31.45,29,0.17133545875549316,0.0016469637552897136,0.0015487035115559896
04_3_20,10,3_4,10.46,13.430000000000003,8.690000000000001,3.748076923076923,4.060769230769231,3.2146153846153847,28.740000000000002,32.74,27,0.19702853361765543,0.0016007184982299804,0.001327641805013021
04_3_40,1,3_4,19.47,21.47,15.469999999999999,7.076756756756756,7.265945945945946,5.447567567567567,56,57,48,0.4007237672805786,0.003359484672546387,0.003935702641805013
04_3_40,2,3_4,35.65,33.54,28.060000000000002,12.95326530612245,12.63326530612245,9.836326530612245,75,73,65,0.7231712182362874,0.00608980655670166,0.006403811772664388
04_3_40,3,3_4,20.299999999999997,20.299999999999997,17.96,9.57695652173913,9.324782608695651,8.467173913043476,59,58.35,55,0.5393004496892293,0.005776143074035645,0.0062761068344116214
04_3_40,4,3_4,34.760000000000005,36.760000000000005,30.369999999999997,15.105471698113208,15.199811320754717,12.377169811320755,71,73,68,0.7158713817596436,0.005918812751770019,0.006271505355834961
04_3_40,5,3_4,31.260000000000005,30.260000000000005,25.660000000000004,10.556153846153846,12.387692307692308,8.914423076923077,69,68,65,0.795387864112854,0.007843573888142904,0.007900730768839518
04_3_40,6,3_4,25.65,25.65,19.65,9.19452380952381,9.313571428571429,6.343095238095239,65,65,59,0.8732592821121216,0.005615631739298503,0.004349303245544433
04_3_40,7,3_4,12.68,12.829999999999998,7.890000000000001,4.73027027027027,4.972702702702703,3.2640540540540544,48.06,48.06,47,0.5263061205546061,0.004400404294331869,0.005781483650207519
04_3_40,8,3_4,31.239999999999995,26.239999999999995,17.589999999999996,9.587777777777777,9.59222222222222,7.966444444444444,71,66,57.04,0.8235137542088826,0.006760740280151367,0.006908305486043294
04_3_40,9,3_4,16.78,16.610000000000007,11.610000000000007,6.799473684210527,6.80421052631579,4.453947368421054,50,53.11,47,0.4251334985097249,0.003596226374308268,0.003408193588256836
04_3_40,10,3_4,28.07,29.629999999999995,27.21999999999999,12.336730769230769,12.786923076923076,9.820769230769232,68,67,67,0.9339934349060058,0.00818616549173991,0.007027578353881836
